,x_coord,y_coord
20_minute,22.713121,72.43076
accept,23.566366,48.571434
watch,27.554575,15.996104
warm,-4.922892,-42.12482
add,20.745333,3.5597744
greet,-28.053999,34.90365
testing,26.469753,27.505222
allergy,56.915936,-13.180662
transfer,-3.1416905,43.691917
leg,53.796585,-24.522577
whatev,-21.211475,34.84309
nervous,11.316163,-17.186085
professionalism,-6.560348,-27.941555
personally,-25.163021,26.493809
wear,37.455597,1.219847
letter,20.97722,40.728336
neck,54.976475,-28.573553
anymore,-23.142302,37.81889
bed,35.054924,12.004757
hang_up,-4.418512,42.807827
uncomfortable,15.458895,-13.201888
enjoy,-16.423445,-51.841774
outside,9.943764,22.310186
buy,-22.331787,-0.85511625
respond,-8.750848,38.834927
perfect,-13.659202,-47.512627
large,28.75472,-3.670342
cry,42.18166,-1.2856704
attempt,-1.0234264,30.920546
fax,13.358949,38.55902
drop,45.332508,7.7189016
best,-15.894536,-46.91764
website,-6.5657525,34.05126
consult,-36.88592,7.2461395
drug,58.443386,11.1106415
s,-18.163862,24.089006
welcome,-5.273223,-41.121128
obgyn,-43.09069,-23.107536
pocket,30.440077,45.4781
step,8.475111,-36.14155
valley,-60.716167,-15.218241
as_soon_as,-16.59917,59.57765
recommendation,12.336434,-25.831587
vegas,-60.916374,-16.347029
shoulder,54.698864,-27.919771
comment,-15.749502,10.009631
spot,42.55325,-26.041492
approach,11.487664,-39.99388
ob,-43.122616,-22.650866
beautiful,-8.45147,-15.063121
world,-20.989248,-34.777985
apologize,-23.713661,30.982336
eat,43.346092,16.757162
stuff,-14.81773,12.817978
building,9.000793,24.512165
refund,23.57265,41.038807
therapy,27.280039,-37.60067
despite,6.5194707,44.741962
share,-16.737791,2.941461
script,56.406406,15.654703
incredibly,-12.584757,-43.273388
pill,58.514606,10.354531
forever,23.689999,67.26418
pediatric,-46.848213,-26.418722
weekend,0.68534386,64.558136
tear,41.0863,-1.8982006
funny,-1.6960683,-41.386627
cancer,40.583923,-29.649965
sad,12.558529,-11.058885
friday,3.2246413,67.940834
incompetent,0.4662077,-2.112233
policy,-9.180653,13.581445
outstanding,-10.98437,-50.729927
inside,9.750673,23.251562
complain,-1.2395328,15.151311
voicemail,-4.1835732,39.61099
special,15.28555,-39.06703
hate,-7.6214824,4.4003243
iv,48.75965,11.000652
competent,0.12141199,-47.39366
pleased,-9.3675,-56.116978
cut,35.202557,2.5961363
heal,22.500177,-30.978222
fail,-0.40030533,30.685343
touch,46.07327,5.1605206
lasik,41.525642,-42.439724
painful,17.50689,-13.399964
md,-46.143795,-38.202496
laugh,4.7704744,17.737545
bear,-49.3255,10.43931
30,37.436924,57.35961
manage,23.053764,-23.04636
fall,33.36586,3.820295
make_feel_comfortable,-3.483182,-38.82642
examine,15.659561,17.744083
machine,34.647808,6.927977
u,-19.776377,25.064484
fun,-8.019539,-39.673416
eye_exam,-22.429674,-3.4456742
die,31.23699,-16.014935
improve,25.376219,-27.979357
these_people,-25.925867,-10.332363
major,29.223244,-10.870442
by_far,-21.49733,-39.815098
highly,-32.865494,15.576316
age,-47.53975,15.790876
12,36.79843,60.402126
arizona,-58.376995,-17.174181
test_result,11.082752,37.20071
assure,2.410834,36.373875
convenient,-21.909094,5.909455
discharge,10.511994,46.446396
pt,-34.548916,-34.501404
staff_member,-31.964428,-12.7929735
communication,-10.015878,-21.907513
moment,-10.582813,54.769295
initial,-8.658897,60.135117
thankful,-13.746579,-56.453796
feel_rush,-8.477676,-7.9024835
general,-36.888588,-21.905657
history,26.111311,-8.287248
wonder,-18.35638,20.196772
imagine,-17.841171,16.98635
deserve,-30.247145,25.481476
20,37.36543,58.40483
computer,11.485271,34.22801
manner,-5.6382303,-23.333624
copy,14.476641,37.18563
crazy,13.212353,-2.296285
gentle,0.52731824,-43.2827
search,-30.67254,2.5640273
card,18.968494,36.94837
suffer,36.593777,-11.808649
mail,21.094074,40.98381
site,-11.161059,36.303783
chart,12.224965,35.22381
someone_else,-34.0089,11.939197
resolve,21.719002,-21.137556
straight,10.096338,28.195543
technician,-37.809814,-14.664668
incredible,-12.026549,-50.7903
severe,37.65336,-12.196217
network,23.643372,49.926266
solution,16.18793,-26.713593
ignore,12.49379,4.1813555
as_possible,-15.2592745,-16.380531
trip,-45.198025,37.168556
explanation,-5.203774,17.181234
nearly,29.338848,62.750263
week_later,-5.5816417,69.6205
cough,52.984566,-7.859067
picture,26.012648,17.934628
proceed,4.2172127,21.932117
stress,42.76795,-14.258817
surprised,6.910728,-14.045829
suck,-0.81639946,5.4355116
relief,33.16932,-29.22106
story,-15.616538,12.276777
slow,-0.040436488,0.027310416
floor,33.776413,13.049395
few_minute,24.639574,73.031624
deal,41.258194,27.757334
dollar,34.077343,47.02672
school,-29.368717,-25.000963
saturday,2.890216,66.39691
session,28.48163,-37.29337
ma,-36.68086,-13.904957
figure_out,21.180397,-22.278131
pull,29.205013,7.1697636
barely,49.831814,28.93586
adjustment,28.73288,-36.60356
blood_pressure,49.4834,-3.3384175
dad,-54.308865,19.08203
tooth,50.903934,-37.133217
exercise,25.712095,-34.25899
insist,4.7809553,37.34772
zero,-36.596287,29.81868
birth,-48.694294,7.6569366
hop,-26.247879,21.75915
lucky,-15.419654,-57.33358
weight,48.227352,-2.8272753
certain,-11.500619,20.198975
feel_comfortable,-3.815364,-38.372486
rate,-33.785366,29.23103
release,10.540998,46.39655
headache,44.684235,-11.797741
rather_than,-44.688576,29.458662
xray,27.530077,22.478403
lead,26.742527,-21.009237
collection,22.855183,39.727486
2nd,3.677644,74.118515
play,27.592283,14.32368
wake_up,53.93479,0.6150811
top_notch,-10.588246,-49.754734
massage,28.50986,-37.29031
look_forward,-11.223267,-60.537373
specific,-11.805686,20.105734
assume,-20.340137,20.882662
1st,3.519343,74.32935
surprise,-60.024315,-2.948559
billing_department,-35.904274,-3.7203555
father,-54.316914,19.365993
enter,15.122903,25.22531
benefit,18.903276,44.827366
car,11.417697,25.37486
hopefully,-26.891232,21.644785
sister,-54.68399,20.210367
chair,34.219666,12.284619
aware,5.960815,34.741394
confident,-5.080504,-35.55416
fault,12.224878,9.619732
welcoming,-4.823692,-42.801365
very_pleased,-9.681888,-55.54606
current,2.7373903,-26.389067
scar,40.21893,-23.985165
knowledgable,1.574253,-44.742043
balance,24.491032,40.324562
appear,-11.235596,9.011821
phoenix,-60.674763,-14.276252
reply,-8.747844,38.77037
water,42.29686,16.172815
rx,56.500263,15.6969385
owe,26.207033,41.342255
family_member,-57.66618,21.510832
3_month,12.964492,78.22383
figure,-21.843159,21.837496
condescending,-1.8237414,-6.1517262
ensure,5.4467797,-34.30445
month_ago,-5.6066246,71.78875
excuse,-23.433516,29.173325
scottsdale,-60.696682,-13.707483
unable,-0.42724013,27.890238
10_year,12.446645,82.99887
month_later,-6.127359,69.603455
encounter,-21.170858,-18.512403
fever,53.241245,-7.594865
sit_down,8.885608,20.644878
excited,-11.592522,-59.444668
go_somewhere_else,-31.686234,8.920563
assist,-11.112023,-34.497673
year_old,-53.03392,13.900808
15,37.17696,59.0927
field,-19.347176,-31.278309
needless,-22.270718,8.874899
store,-24.431684,-2.7932785
9,37.029938,60.69869
promise,1.7727207,36.053104
earlier,-8.055101,65.41589
concerned,10.295335,-21.882496
6_month,12.9434185,78.60656
difference,19.573784,-27.826206
personality,-6.502022,-23.514828
lol,-21.76229,25.464725
waiting_area,14.013052,21.104729
standard,-8.938576,17.302319
direct,-14.622399,1.9780567
primary_care_physician,-44.08091,-26.423193
anxiety,43.194275,-13.938043
sell,19.556187,4.7278566
repeat,2.4068668,20.51145
expensive,18.989464,7.7343473
scan,26.082516,22.66615
force,17.777464,4.070059
value,0.34937426,-31.853273
program,21.624443,-38.69887
addition,-4.4169335,25.482052
currently,40.618423,61.686447
only_reason,-34.29232,25.814302
super_friendly,-5.531601,-45.44509
normally,-17.140793,37.834137
plenty,37.649723,32.492992
hit,24.331835,5.075574
exceptional,-11.060262,-50.677708
female,-31.379131,-5.19655
would_definitely_recommend,-28.860748,14.163893
safe,-4.0383935,-35.928043
biopsy,44.882206,-27.345306
exactly,-13.534693,21.818699
purchase,-22.302122,-0.932663
numerous,0.06825679,46.23203
particular,-11.870364,19.996256
medical_record,13.484934,37.169243
az,-58.413136,-17.219582
specifically,-12.431979,19.511534
certainly,-27.980988,18.330383
cool,-7.7111206,-41.891567
possibly,29.180096,-18.869753
dental,-39.714252,-33.507915
frustrating,13.906419,-9.015963
pick,-28.351906,3.536115
doubt,-13.598716,-29.961058
light,32.41425,-0.0028059392
vital,18.511477,25.14581
calm,-4.9984303,-38.78599
individual,-29.18418,-13.105603
reach,-1.7930186,42.28663
reasonable,20.033699,11.406048
compare,-21.875835,-16.00284
advance,1.398081,54.235367
blood_test,26.978474,26.549566
proper,10.631791,14.703969
comfort,-4.2807326,-37.23861
act,4.118873,-0.103670426
locate,-64.02992,-6.5034647
counter,-37.697624,-9.963121
pressure,32.45717,-6.9873996
too_much,35.526104,28.290524
stitch,48.516125,-27.940935
prompt,-18.14361,54.542637
nerve,52.391094,-28.807346
travel,-44.564373,36.727787
wish_could,-31.970812,26.634144
satisfied,-9.3571005,-56.69544
disappointed,6.209112,-11.627093
interested,7.599732,-23.486345
communicate,-11.431582,1.9964937
routine,-27.568497,45.27016
ob_gyn,-43.12302,-23.200518
scared,11.716444,-16.48476
hell,-14.661788,22.678719
lunch,7.591596,67.06449
product,31.119387,-40.82279
ankle,54.57554,-26.57279
relate,22.868576,-7.125909
flu,55.580425,-9.167367
catch,24.081036,5.2713737
botox,33.07642,-39.81375
till,10.527602,68.08375
sound,-8.120174,1.3310465
needle,46.11139,4.597196
every_single,0.8236043,47.872574
department,-42.927094,-4.7363253
drs,-42.90072,-34.304405
trouble,33.61747,-13.007991
bunch,36.12133,31.229715
chiropractic,-34.571205,-33.33213
shame,-2.3206148,-20.09353
deny,16.105095,43.839317
parking,9.196757,25.271767
breast,45.486607,-34.225067
initially,-11.660575,65.78821
promptly,-17.656775,58.110176
original,-9.595632,63.061222
near,-65.63186,-8.75747
natural,19.366432,-33.83806
tv,28.87858,15.538229
period,23.638157,59.09453
mouth,54.904613,-19.220776
second_opinion,-36.928627,3.891228
equipment,-5.1964474,-14.795908
basic,-8.787328,17.248438
boy,-51.62924,15.77384
remind,1.2717651,38.651756
properly,11.359435,15.15058
non,-4.1645827,-22.828253
labor,-47.87818,5.457027
involve,-2.873652,18.439339
attend,-26.922464,-25.521454
favor,-27.03362,11.293127
instruction,-5.387203,18.245174
painless,-15.689076,-15.02786
dirty,33.607845,15.10095
urgent,24.743685,-11.461753
skill,-7.511893,-30.30112
beginning,-9.301395,55.041138
migraine,44.562138,-12.214889
idea,14.784909,-23.410734
30_min,22.411263,71.448
account,23.12918,39.656956
verify,5.8773966,39.391277
therapist,-35.594437,-35.347416
rn,-36.513496,-17.151981
act_like,-3.7879684,-1.5142968
adjust,29.135923,-35.311172
throat,55.00075,-18.493725
main,-65.2528,-6.574531
vacation,0.6119249,63.997288
throw,27.111002,9.174451
beware,-28.716585,8.9589615
ton,36.520935,31.869263
class,-26.662725,-24.175526
insurance_card,18.54391,36.506634
nose,54.799835,-18.82258
treatment_plan,18.281454,-38.10784
post_op,-12.5630045,46.04795
exactly_what,12.363622,-32.026203
ent,-43.65385,-28.30095
patience,-7.71209,-28.060543
delay,14.064073,9.363171
expertise,-7.228239,-30.563686
ill,58.17276,-5.081297
minimal,19.629911,13.776382
management,-25.55641,-16.178854
illness,35.32349,-18.618174
directly,-14.414665,2.1762
stupid,12.673852,-0.56153667
determine,25.142706,-17.777924
hip,54.70784,-28.08288
disappoint,-8.372502,-57.3047
easily,-19.278082,51.104362
present,22.561207,-17.495481
ability,-6.7099347,-31.724714
submit,15.406312,40.6148
vein,49.10169,-25.012697
