,business_id,categories,city,name,review_count,star_avg,state,categories_list,health_business
15,Jr1nMQ15XXLzDo_VR_-xkA,"health & medical, urgent care, medical centers",Mesa,Southwest Urgent Care,5,5.0,AZ,"['health & medical', ' urgent care', ' medical centers']",urgent care
16,YRHMXSIeeN-OVe5ix84UtA,"urgent care, health & medical, doctors",Phoenix,Banner Urgent Care,6,4.0,AZ,"['urgent care', ' health & medical', ' doctors']",urgent care
17,j0K_tuCeXVpjq6caSlkMIw,"health & medical, hospitals, urgent care",Gilbert,AllKids Urgent Care,28,3.0,AZ,"['health & medical', ' hospitals', ' urgent care']",urgent care
18,02gcdoVJrnxrdzhffs_3dQ,"health & medical, urgent care",Las Vegas,CareNow Urgent care,74,3.5,NV,"['health & medical', ' urgent care']",urgent care
19,pVcoevMMe1-OrfoVyBHuDg,"urgent care, health & medical",Rocky River,Rocky River Urgent Care,20,2.5,OH,"['urgent care', ' health & medical']",urgent care
20,NRX6MGxVeAxfHP7jyjmd_A,"urgent care, health & medical, doctors, medical centers",Charlotte,FastMed Urgent Care,21,1.5,NC,"['urgent care', ' health & medical', ' doctors', ' medical centers']",urgent care
21,6VMjatPS6k1F6z3JEXixJg,"health & medical, urgent care",Las Vegas,Urgent Care Extra,3,4.0,NV,"['health & medical', ' urgent care']",urgent care
22,ss-RguQeZ9wDvnQqPiQqWA,"urgent care, medical centers, doctors, health & medical",Charlotte,FastMed Urgent Care,16,4.0,NC,"['urgent care', ' medical centers', ' doctors', ' health & medical']",urgent care
23,WFNLuN598pz02kvx_sPKVQ,"health & medical, urgent care",McKees Rocks,MedExpress Urgent Care,3,4.5,PA,"['health & medical', ' urgent care']",urgent care
24,FcbNkrum-zxT3opIZqxaMg,"health & medical, medical centers, urgent care, walk-in clinics, doctors",Las Vegas,Southwest Medical Associates Convenient Care at Durango,18,2.5,NV,"['health & medical', ' medical centers', ' urgent care', ' walk-in clinics', ' doctors']",urgent care
25,KuDrIPWUqn2NVb6M09lZLQ,"health & medical, urgent care",Charlotte,Concentra,8,2.0,NC,"['health & medical', ' urgent care']",urgent care
26,h28sPEPkXCE7ybqAajwz5g,"doctors, urgent care, health & medical, medical centers",Mesa,NextCare Urgent Care,16,3.0,AZ,"['doctors', ' urgent care', ' health & medical', ' medical centers']",urgent care
27,DuohxGIJ5nOUbJADv8p6Yw,"urgent care, health & medical",Las Vegas,CareNow,18,3.0,NV,"['urgent care', ' health & medical']",urgent care
28,x3R7O24Bf2zCd8NJxo9thw,"health & medical, urgent care",Las Vegas,Urgent Care 24 Hour,13,2.5,NV,"['health & medical', ' urgent care']",urgent care
29,GMa37pk-OQ9avLpkIN4XPA,"health & medical, urgent care, doctors",Mesa,Banner Urgent Care,15,4.0,AZ,"['health & medical', ' urgent care', ' doctors']",urgent care
30,9yATznuXsyvWyvVGhQx06A,"urgent care, medical centers, health & medical, doctors",Phoenix,NextCare Urgent Care,37,3.0,AZ,"['urgent care', ' medical centers', ' health & medical', ' doctors']",urgent care
31,VgQVRYbVrVgOrFQ6omI2Eg,"urgent care, health & medical",Phoenix,Quick Visit Urgent Care,4,2.0,AZ,"['urgent care', ' health & medical']",urgent care
32,5CJH3IjTriP_MTO0r0DTOw,"doctors, urgent care, health & medical, hospitals, medical centers",Las Vegas,Southwest Medical Associates at Rancho,89,2.0,NV,"['doctors', ' urgent care', ' health & medical', ' hospitals', ' medical centers']",urgent care
33,h4njSYyaZvLsfsMZd9-H6A,"medical centers, doctors, urgent care, health & medical",Mesa,FastMed Urgent Care,16,3.0,AZ,"['medical centers', ' doctors', ' urgent care', ' health & medical']",urgent care
34,ot7zeQVoPlXVEgqridSm6w,"medical centers, doctors, urgent care, health & medical",Tempe,FastMed Urgent Care,46,2.0,AZ,"['medical centers', ' doctors', ' urgent care', ' health & medical']",urgent care
35,VOkcmRf3YSyzMLrWCh7EqA,"health & medical, urgent care",Phoenix,Concentra Urgent Care - Phoenix,35,3.0,AZ,"['health & medical', ' urgent care']",urgent care
36,msBndEAiSbOwSoGo1I79sg,"urgent care, doctors, health & medical, medical centers",Tempe,FastMed Urgent Care,25,2.5,AZ,"['urgent care', ' doctors', ' health & medical', ' medical centers']",urgent care
37,QlEfm0Xn5CeVVWmDevXtCA,"urgent care, doctors, health & medical",Chandler,Sun Valley Pediatric Urgent Care,3,3.5,AZ,"['urgent care', ' doctors', ' health & medical']",urgent care
38,XsADZQQCYIRLLP094mRPGA,"urgent care, health & medical",Stow,Western Reserve Hospital Stow Urgent Care,3,3.5,OH,"['urgent care', ' health & medical']",urgent care
39,x5Rl0JThoDZ6_ezC6qwx7g,"doctors, health & medical, urgent care",Las Vegas,Sahara West Urgent Care & Wellness,27,3.5,NV,"['doctors', ' health & medical', ' urgent care']",urgent care
40,Ey-HRBscfi6E_-PD6UrraA,"urgent care, health & medical, medical centers, hospitals",Mesa,Banner Desert Medical Center,141,2.5,AZ,"['urgent care', ' health & medical', ' medical centers', ' hospitals']",urgent care
41,Zrh6UnmVBFa8KqDD6oTmbQ,"urgent care, health & medical",Las Vegas,CareNow,72,2.5,NV,"['urgent care', ' health & medical']",urgent care
42,m1m2GeeBCCCRfhPeOkSKTQ,"doctors, medical centers, health & medical, urgent care",Phoenix,FastMed Urgent Care,40,3.5,AZ,"['doctors', ' medical centers', ' health & medical', ' urgent care']",urgent care
43,5oVO3l8ji0D0FnOTQJ-jUg,"health & medical, urgent care, doctors",Indian Trail,Carolinas Healthcare Urgent Care,6,4.0,NC,"['health & medical', ' urgent care', ' doctors']",urgent care
44,iCGFG_bLI43nb5HsDa9QQQ,"urgent care, health & medical",Fairlawn,Summa Health Fairlawn Urgent Care,4,2.0,OH,"['urgent care', ' health & medical']",urgent care
45,dH3G4HYsdjdNIVn_exsjjg,"health & medical, urgent care",Peoria,Banner Urgent Care,30,3.5,AZ,"['health & medical', ' urgent care']",urgent care
46,6cmIxHzmRb_vJskMxxGbEA,"urgent care, health & medical, doctors, medical centers",Mesa,NextCare Urgent Care,14,2.5,AZ,"['urgent care', ' health & medical', ' doctors', ' medical centers']",urgent care
47,2enm1-cKr2yK9EcRCY5dLw,"health & medical, urgent care",Las Vegas,Cvs Minute Clinic,3,2.5,NV,"['health & medical', ' urgent care']",urgent care
48,GzHCL9ea04Y0Q-lxsDj9-w,"health & medical, urgent care",Chandler,Oasis Urgent Care,10,4.0,AZ,"['health & medical', ' urgent care']",urgent care
49,w2g2f6D8dgsuTMFw8M_SsA,"health & medical, urgent care, medical centers, doctors",Las Vegas,Procare Medical Center,203,2.5,NV,"['health & medical', ' urgent care', ' medical centers', ' doctors']",urgent care
50,Gn7UJo0Qa-cE0FE9Ei1Z9g,"health & medical, doctors, urgent care",Phoenix,Cigna Medical Group,18,3.0,AZ,"['health & medical', ' doctors', ' urgent care']",urgent care
51,GIeAvNvo9sH4nWVVsnkkMw,"urgent care, health & medical",Las Vegas,CareNow,28,3.0,NV,"['urgent care', ' health & medical']",urgent care
52,SrpZlb40mI_xGGdh4mniXQ,"urgent care, health & medical",Pittsburgh,UPMC Urgent Care - Robinson,9,4.0,PA,"['urgent care', ' health & medical']",urgent care
53,zPaoppBtXodfjEnsT7GFZA,"medical centers, urgent care, health & medical",Pittsburgh,AGH Suburban,5,2.5,PA,"['medical centers', ' urgent care', ' health & medical']",urgent care
54,neANd66mdCsdKfQndSMbCg,"hospitals, health & medical, urgent care",Tolleson,Alliance Urgent Care,6,3.5,AZ,"['hospitals', ' health & medical', ' urgent care']",urgent care
55,gVlYPb_qZPNLZzH8gSI09A,"health & medical, medical centers, urgent care",Peoria,Alliance Urgent Care,13,2.0,AZ,"['health & medical', ' medical centers', ' urgent care']",urgent care
56,qYVOl60Fb5u67ZsqpfIp0w,"health & medical, medical centers, urgent care",Las Vegas,1 World Medicine,13,3.0,NV,"['health & medical', ' medical centers', ' urgent care']",urgent care
57,LkYKDy-F1lVr1MhU7FofyA,"hospitals, health & medical, doctors, medical centers, urgent care",Phoenix,FastMed Urgent Care,15,2.5,AZ,"['hospitals', ' health & medical', ' doctors', ' medical centers', ' urgent care']",urgent care
58,2Bdx3erDPl7FgWZD3kHgPg,"doctors, urgent care, health & medical",Pleasant Hills,MedExpress Urgent Care,10,4.5,PA,"['doctors', ' urgent care', ' health & medical']",urgent care
59,dkv8OL0cjJaHULqtgyrsQw,"doctors, urgent care, health & medical, orthopedists",Charlotte,OrthoCarolina,24,3.0,NC,"['doctors', ' urgent care', ' health & medical', ' orthopedists']",urgent care
60,LC9GflwW4ZPjH4qaD6XArw,"health & medical, urgent care",Las Vegas,CareNow,56,3.0,NV,"['health & medical', ' urgent care']",urgent care
61,uG9pvFsYE_8rh5eUak9P0w,"doctors, medical centers, health & medical, urgent care",Glendale,Cigna Medical Group,11,2.5,AZ,"['doctors', ' medical centers', ' health & medical', ' urgent care']",urgent care
62,fn5QYGc73-Tytt9W1AOS0g,"doctors, urgent care, health & medical, medical centers",Chandler,Chandler Valley Urgent Care,33,3.5,AZ,"['doctors', ' urgent care', ' health & medical', ' medical centers']",urgent care
63,8PxFZpufeUmRHpJIOhLPdw,"doctors, urgent care, medical centers, health & medical",Gilbert,NextCare Urgent Care,5,2.5,AZ,"['doctors', ' urgent care', ' medical centers', ' health & medical']",urgent care
64,88YIDz72c0MMYy09o6UJIw,"urgent care, health & medical",Pittsburgh,MedExpress - Upper St. Clair,9,3.5,PA,"['urgent care', ' health & medical']",urgent care
65,vVzYDKCXaGhIRavkI-AUUw,"urgent care, health & medical, medical centers, doctors",Surprise,FastMed Urgent Care,38,2.5,AZ,"['urgent care', ' health & medical', ' medical centers', ' doctors']",urgent care
66,h7CdWTQ5Mc4wIjAVIsBXeQ,"health & medical, urgent care",Pittsburgh,MedExpress - Brentwood,3,1.0,PA,"['health & medical', ' urgent care']",urgent care
67,kAIgz_ZJJJso4sv8IcWkPQ,"urgent care, health & medical, hospitals",Monroeville,UPMC East Emergency Department,3,3.5,PA,"['urgent care', ' health & medical', ' hospitals']",urgent care
68,9YFKrSLAni0K5z9ARKYGww,"medical centers, health & medical, doctors, urgent care",Gilbert,FastMed Urgent Care,30,2.5,AZ,"['medical centers', ' health & medical', ' doctors', ' urgent care']",urgent care
69,NpLrHH6RD_oTHZXoWdDhLQ,"urgent care, hospitals, health & medical, medical centers",Glendale,Banner Thunderbird Medical Center,126,2.5,AZ,"['urgent care', ' hospitals', ' health & medical', ' medical centers']",urgent care
70,qRkHXzgJuYJ2BtxUJWzqLg,"health & medical, urgent care, hospitals, doctors",Las Vegas,UMC Quick Care - Spring Valley,114,3.0,NV,"['health & medical', ' urgent care', ' hospitals', ' doctors']",urgent care
71,fE7a_XIdzHaEbDV2DKcCMw,"walk-in clinics, health & medical, medical centers, urgent care",Lakewood,Lakewood Urgent Care,4,4.0,OH,"['walk-in clinics', ' health & medical', ' medical centers', ' urgent care']",urgent care
72,Q43lQ5UgLB3XOfcbO1vdtw,"health & medical, urgent care",Chandler,Urgent Care Express,3,3.5,AZ,"['health & medical', ' urgent care']",urgent care
73,WZNZT_7EXNAeAXc4JCOFPA,"health & medical, doctors, urgent care",Gilbert,Health First Urgent Care,55,4.5,AZ,"['health & medical', ' doctors', ' urgent care']",urgent care
74,tlt8zNrZ6_A3DmXiM-cnBA,"health & medical, urgent care, emergency rooms, doctors",San Tan Valley,Banner Urgent Care,23,3.0,AZ,"['health & medical', ' urgent care', ' emergency rooms', ' doctors']",urgent care
75,J0KJrAcCrqhfSsWj8WOdGQ,"health & medical, doctors, urgent care, medical centers",Concord,FastMed Urgent Care,13,2.5,NC,"['health & medical', ' doctors', ' urgent care', ' medical centers']",urgent care
76,EHRCbE71Nm5erUy1ElLX9g,"urgent care, doctors, emergency rooms, health & medical, hospitals",Mesa,Banner Urgent Care,9,3.5,AZ,"['urgent care', ' doctors', ' emergency rooms', ' health & medical', ' hospitals']",urgent care
77,NTLR-fNKZwe3Um_ZYV0oFg,"urgent care, medical centers, doctors, health & medical",Surprise,NextCare Urgent Care,15,4.5,AZ,"['urgent care', ' medical centers', ' doctors', ' health & medical']",urgent care
78,H_P1NMI-jZ8WtiWC4ks2YQ,"medical centers, hospitals, health & medical, urgent care",Las Vegas,Summerlin Hospital Medical Center,253,3.0,NV,"['medical centers', ' hospitals', ' health & medical', ' urgent care']",urgent care
79,Wmn3xa6C9TErM9NCDPRviA,"urgent care, health & medical",North Las Vegas,UMC Primary Care,4,3.0,NV,"['urgent care', ' health & medical']",urgent care
80,TpnPKyDRNTJm_iJMEXcFbQ,"urgent care, health & medical",Henderson,Urgent Care Extra,21,3.0,NV,"['urgent care', ' health & medical']",urgent care
81,KMWS4pVSkFbfgCVaD1E7Qg,"health & medical, urgent care",Phoenix,One Health Medical System Urgent Care,6,4.5,AZ,"['health & medical', ' urgent care']",urgent care
82,_VEdHgfhRbuZYX7g4kFOsA,"urgent care, health & medical",Tempe,The Little Clinic,8,5.0,AZ,"['urgent care', ' health & medical']",urgent care
83,hLcFzwfeKOFg-EP7nGH4qw,"urgent care, health & medical, medical centers",Phoenix,MBI Occupational Healthcare,10,2.0,AZ,"['urgent care', ' health & medical', ' medical centers']",urgent care
84,IsVHlzyLY1f1lY7lJ5ozmQ,"medical centers, urgent care, health & medical, doctors",Phoenix,FastMed Urgent Care,3,2.5,AZ,"['medical centers', ' urgent care', ' health & medical', ' doctors']",urgent care
85,EOUl62_AK1joE6HY7TzVSg,"medical centers, doctors, urgent care, health & medical",Glendale,NextCare Urgent Care,53,3.0,AZ,"['medical centers', ' doctors', ' urgent care', ' health & medical']",urgent care
86,OnP0w29XmJvis4c1_oUiIA,"urgent care, health & medical",Peoria,Concentra,16,3.5,AZ,"['urgent care', ' health & medical']",urgent care
87,M3-p_34fxRjZF5MgCyAtZQ,"health & medical, urgent care",Las Vegas,Urgent Care Extra,27,3.0,NV,"['health & medical', ' urgent care']",urgent care
88,8Is3OgAFxdH73FJBxNMJrg,"doctors, urgent care, health & medical, medical centers",Phoenix,FastMed Urgent Care,33,2.0,AZ,"['doctors', ' urgent care', ' health & medical', ' medical centers']",urgent care
89,jqKe0Plc95I0pyqNFNoLHg,"urgent care, health & medical",Phoenix,CMG CareToday,5,3.0,AZ,"['urgent care', ' health & medical']",urgent care
90,KEHZujlbri-nHPUNIoX-2w,"urgent care, health & medical",Boulder City,Physicians Urgent Care,4,5.0,NV,"['urgent care', ' health & medical']",urgent care
91,UPWq76F2CAR43F-nTAQtxA,"health & medical, urgent care",Braddock,Allegheny Health Network Urgent Care Center Braddock,3,2.5,PA,"['health & medical', ' urgent care']",urgent care
92,nOivmEk1FCyV69ypu4Tsow,"health & medical, urgent care",Mesa,Banner Urgent Care,13,3.0,AZ,"['health & medical', ' urgent care']",urgent care
93,3AIz59XitloJ_iEo0z5cSQ,"health & medical, urgent care",Brooklyn,Ridgepark Urgent Care,4,2.0,OH,"['health & medical', ' urgent care']",urgent care
94,vaASqT_yjBg2KETbGyasJw,"health & medical, urgent care",Pittsburgh,UPMC,3,1.5,PA,"['health & medical', ' urgent care']",urgent care
95,uR4usyHbZN1zyZLZf6cNHA,"urgent care, health & medical",Las Vegas,Tropicana & Jones,3,5.0,NV,"['urgent care', ' health & medical']",urgent care
96,znDAr2d2ltvTAs4ZJzMy4w,"health & medical, doctors, urgent care, medical centers",Glendale,NextCare Urgent Care,21,3.5,AZ,"['health & medical', ' doctors', ' urgent care', ' medical centers']",urgent care
97,aHsjXvac2y8ZpzzOLTPRBg,"health & medical, urgent care",Pittsburgh,MedExpress,3,3.5,PA,"['health & medical', ' urgent care']",urgent care
98,e2Gc7irbX-cGo0F3UDGj5Q,"health & medical, urgent care, doctors",Scottsdale,Banner Urgent Care,69,4.0,AZ,"['health & medical', ' urgent care', ' doctors']",urgent care
99,eaqSn5cu4xSne_GWwlt0xA,"health & medical, urgent care",Painesville,U H Concord Urgent Care,4,3.0,OH,"['health & medical', ' urgent care']",urgent care
100,4ucSV0uKOI5onbc8usOFLg,"health & medical, urgent care",Phoenix,Concentra Urgent Care,5,2.0,AZ,"['health & medical', ' urgent care']",urgent care
101,jr4AMqWnCIVO8F55iUrmyQ,"urgent care, health & medical, hospitals",Buckeye,Abrazo Buckeye Emergency Center,15,2.5,AZ,"['urgent care', ' health & medical', ' hospitals']",urgent care
102,BKbh-45X41-ZDMsOEawR9A,"health & medical, doctors, medical centers, urgent care",Goodyear,FastMed Urgent Care,42,3.0,AZ,"['health & medical', ' doctors', ' medical centers', ' urgent care']",urgent care
103,hboYtg2liCQpdbeVAIzbYA,"medical centers, doctors, urgent care, health & medical",Glendale,NextCare Urgent Care,42,3.5,AZ,"['medical centers', ' doctors', ' urgent care', ' health & medical']",urgent care
104,IWjYkCbUB_DweY99SHARlQ,"doctors, urgent care, health & medical, medical centers",Mesa,FastMed Urgent Care,15,2.0,AZ,"['doctors', ' urgent care', ' health & medical', ' medical centers']",urgent care
105,3_WPXId1ab8nmAHYZ1nrQQ,"health & medical, medical centers, urgent care",Concord,ProMed,3,3.0,NC,"['health & medical', ' medical centers', ' urgent care']",urgent care
106,-2UWYfzeK65e6naWSEUz7g,"health & medical, urgent care",Goodyear,Alliance Urgent Care,12,2.5,AZ,"['health & medical', ' urgent care']",urgent care
107,oTi9E3XV2TdNN6rfk6fOGg,"urgent care, health & medical",Phoenix,Express Urgent Care,49,4.0,AZ,"['urgent care', ' health & medical']",urgent care
108,KWBY31yTNayxYatPKOposQ,"health & medical, doctors, urgent care",Avondale,Banner Urgent Care,6,3.5,AZ,"['health & medical', ' doctors', ' urgent care']",urgent care
109,Sp2Vx7J8JUgKW0tsqNISDg,"urgent care, doctors, health & medical",Glendale,OUCH Urgent Care,3,2.5,AZ,"['urgent care', ' doctors', ' health & medical']",urgent care
110,ujcm1pfjb7-_nAzAtVizDw,"urgent care, doctors, health & medical, medical centers",Monroe,FastMed Urgent Care,7,2.0,NC,"['urgent care', ' doctors', ' health & medical', ' medical centers']",urgent care
111,WXfdGy4Sd_YJqJ5owxNAEA,"doctors, medical centers, health & medical, urgent care",Phoenix,NextCare Urgent Care,42,2.5,AZ,"['doctors', ' medical centers', ' health & medical', ' urgent care']",urgent care
112,iapGn_rIfAT3F1z4TrjEsQ,"urgent care, health & medical, medical centers, doctors",Glendale,NextCare Urgent Care,28,4.0,AZ,"['urgent care', ' health & medical', ' medical centers', ' doctors']",urgent care
113,f_xOpWwSreCcg_D-KEMs2w,"urgent care, health & medical, medical centers",Avon Lake,Health Express Urgent Care Centers,3,5.0,OH,"['urgent care', ' health & medical', ' medical centers']",urgent care
114,vQ3CLBh1vWFr9YjQ1IdIDw,"health & medical, urgent care",Phoenix,Arcadia Urgent Care,21,3.5,AZ,"['health & medical', ' urgent care']",urgent care
115,sLOuVlFXdefItC3yMJ2ttg,"health & medical, urgent care, doctors, hospitals",Phoenix,HonorHealth Urgent Care PLUS,5,5.0,AZ,"['health & medical', ' urgent care', ' doctors', ' hospitals']",urgent care
116,eqLlg-GxeJiFW-5pWY9v7g,"health & medical, doctors, urgent care",Fort Mill,Piedmont Express Care at Sutton Road,9,4.0,SC,"['health & medical', ' doctors', ' urgent care']",urgent care
117,Pk6YZ0qxl1l94bd3KZ83tQ,"medical centers, urgent care, health & medical, doctors",Mesa,FastMed Urgent Care,45,2.5,AZ,"['medical centers', ' urgent care', ' health & medical', ' doctors']",urgent care
118,NvGBfOFeVLfVWTuNKVrn-w,"urgent care, health & medical, doctors",Gilbert,Banner Urgent Care,31,2.5,AZ,"['urgent care', ' health & medical', ' doctors']",urgent care
119,u2Qbg858NZUEPPr-7V4WqA,"urgent care, doctors, health & medical, medical centers",Phoenix,FastMed Urgent Care,18,2.5,AZ,"['urgent care', ' doctors', ' health & medical', ' medical centers']",urgent care
120,Xrrx8PrRYdety3pH9gcEsg,"health & medical, medical centers, doctors, urgent care",Chandler,NextCare Urgent Care,56,3.5,AZ,"['health & medical', ' medical centers', ' doctors', ' urgent care']",urgent care
121,rWTgkFyfgj_MyazyliNO7A,"health & medical, urgent care, doctors",Chandler,Banner Urgent Care,12,2.0,AZ,"['health & medical', ' urgent care', ' doctors']",urgent care
122,wRPGiWjMR9DaYFA3xFhUPA,"health & medical, urgent care",Pittsburgh,MedExpress - Scott Township,16,2.5,PA,"['health & medical', ' urgent care']",urgent care
123,UtWngqS-WloIY_A53W5K-Q,"health & medical, medical centers, hospitals, urgent care",Gilbert,Mercy Gilbert Medical Center,156,3.0,AZ,"['health & medical', ' medical centers', ' hospitals', ' urgent care']",urgent care
124,4Zr3336ma4ZU5wmUTCe6KA,"urgent care, health & medical, medical centers, doctors",Sun City,NextCare Urgent Care,20,3.5,AZ,"['urgent care', ' health & medical', ' medical centers', ' doctors']",urgent care
125,N9Sd6S_YH8WyPeZyAM0dnw,"health & medical, urgent care",Las Vegas,Umc Quick Care,4,1.0,NV,"['health & medical', ' urgent care']",urgent care
126,vw2u38fXhK-pEhlYKNR1vw,"urgent care, health & medical",Sun City,Express Urgent Care,27,4.0,AZ,"['urgent care', ' health & medical']",urgent care
127,I6fEd8WT4xm8FKG9P1BiIQ,"urgent care, health & medical",Henderson,CareNow,26,4.0,NV,"['urgent care', ' health & medical']",urgent care
128,u2zdIlWHHWN9iiHAc0Z0bg,"health & medical, urgent care",Phoenix,Scottsdale Healthcare Urgent Care Plus,6,3.5,AZ,"['health & medical', ' urgent care']",urgent care
129,D3RwznKwSRnbeP_SfkINLA,"health & medical, medical centers, urgent care, doctors",Tempe,FastMed Urgent Care,39,2.5,AZ,"['health & medical', ' medical centers', ' urgent care', ' doctors']",urgent care
130,efkaE39pOIh-GCH-vtWorg,"urgent care, health & medical",Phoenix,Regent Medical,5,3.5,AZ,"['urgent care', ' health & medical']",urgent care
131,PwxMFnr1DJFfBjP8C9rC-A,"health & medical, hospitals, urgent care, doctors",Las Vegas,UMC Quick Care - Peccole Ranch,99,3.0,NV,"['health & medical', ' hospitals', ' urgent care', ' doctors']",urgent care
132,VSwv8-JoqQVYkfMqfdBECg,"doctors, urgent care, health & medical",Scottsdale,Scottsdale Urgent Care,16,3.0,AZ,"['doctors', ' urgent care', ' health & medical']",urgent care
133,BgXl7Gk-gb3FsuVynQd0xw,"health & medical, urgent care",Chandler,Banner Urgent Care,17,2.5,AZ,"['health & medical', ' urgent care']",urgent care
134,HjrmxSeZn-B6gFvWLjotLw,"urgent care, health & medical",Phoenix,Banner Urgent Care,12,3.0,AZ,"['urgent care', ' health & medical']",urgent care
135,VFpUi6BcFpd5zaKs1ANvGA,"urgent care, health & medical",Las Vegas,UMC Quick Care - Blue Diamond,32,4.0,NV,"['urgent care', ' health & medical']",urgent care
136,oGC4JhPfFEHmaRfHH-wJtg,"urgent care, health & medical",Henderson,CVS Minute Clinic,18,3.0,NV,"['urgent care', ' health & medical']",urgent care
137,Xvr9tIfyp_G3qstLfyIimA,"health & medical, urgent care",Charlotte,Concentra,8,2.0,NC,"['health & medical', ' urgent care']",urgent care
138,QPCPa-LasXaj61vHyVRf5Q,"hospitals, urgent care, health & medical, medical centers",Sun City,Banner Boswell Medical Center,37,2.5,AZ,"['hospitals', ' urgent care', ' health & medical', ' medical centers']",urgent care
139,xD1Ki9CaK9F2an7o_-Jmpg,"urgent care, health & medical",Charlotte,University Urgent Care,5,4.0,NC,"['urgent care', ' health & medical']",urgent care
140,MCCkdPP87Pc3stje88i9uQ,"medical centers, health & medical, urgent care, walk-in clinics",Glendale,InstantMed Health Center- Urgent Care,4,4.0,AZ,"['medical centers', ' health & medical', ' urgent care', ' walk-in clinics']",urgent care
141,MmNkAFwJa8MLEg-i7LFGZQ,"doctors, urgent care, health & medical",Mesa,Banner Urgent Care,9,4.0,AZ,"['doctors', ' urgent care', ' health & medical']",urgent care
142,LKnH2N9_JrjQgz75_1GSBg,"health & medical, urgent care, doctors, medical centers",Tempe,FastMed Urgent Care,48,2.5,AZ,"['health & medical', ' urgent care', ' doctors', ' medical centers']",urgent care
143,B_XootEPeRokDquxKtM23Q,"urgent care, hospitals, doctors, health & medical",Phoenix,HonorHealth Immediate Care - Indian School,5,2.5,AZ,"['urgent care', ' hospitals', ' doctors', ' health & medical']",urgent care
144,ERJuQKb8zxFwxzmGPmWN1A,"doctors, health & medical, medical centers, urgent care",Henderson,AFC/Doctors Express Urgent Care,7,3.0,NV,"['doctors', ' health & medical', ' medical centers', ' urgent care']",urgent care
145,q6iznRa9pYbIwhVWBFnNRw,"health & medical, urgent care",Las Vegas,Umc: Peccole Quick Care,4,5.0,NV,"['health & medical', ' urgent care']",urgent care
146,LNsfFqMORBbieeManO6UZw,"urgent care, health & medical",Las Vegas,CareNow,9,4.0,NV,"['urgent care', ' health & medical']",urgent care
147,M1Aruot197ZvTNdSqjRMmQ,"medical centers, doctors, health & medical, urgent care",Tolleson,FastMed Urgent Care,23,3.0,AZ,"['medical centers', ' doctors', ' health & medical', ' urgent care']",urgent care
