,attributes,business_id,categories,city,name,review_count,star_avg,state,categories_list
15,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",gh1SlGYzKT1vStfLY9vhBg,"doctors, dermatologists, cosmetic surgeons, health & medical",Twinsburg,"Monique S Cohn, DO",16,3.5,OH,"['doctors', ' dermatologists', ' cosmetic surgeons', ' health & medical']"
16,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",_R-Szi10pRQm3h7wHMRElQ,"internal medicine, doctors, health & medical",Goodyear,Med-Cure Internal Medicine,4,3.0,AZ,"['internal medicine', ' doctors', ' health & medical']"
17,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",leyLklff4W5B6lT2YJt1JA,"health & medical, doctors, obstetricians & gynecologists",Mesa,The Woman's Center for Advanced Pelvic Surgery,6,4.5,AZ,"['health & medical', ' doctors', ' obstetricians & gynecologists']"
18,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",cQgqcg-3h7Xh1mTs8AsS6Q,"podiatrists, internal medicine, doctors, health & medical, ophthalmologists, urologists, hospitals",Peoria,Surgery Center of Peoria,6,5.0,AZ,"['podiatrists', ' internal medicine', ' doctors', ' health & medical', ' ophthalmologists', ' urologists', ' hospitals']"
19,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",49yDCATW6fP8_NO1XN6fsg,"doctors, family practice, health & medical, hospitals",Scottsdale,"Stephen Fry, MD",13,3.0,AZ,"['doctors', ' family practice', ' health & medical', ' hospitals']"
20,,wnILuJlKTYn7IWoEhybPTw,"medical centers, health & medical",Scottsdale,Ageless Men's Health Az,4,4.0,AZ,"['medical centers', ' health & medical']"
21,{'ByAppointmentOnly': 'True'},MaYVReHOpn_sJZe0p2HR1Q,"doctors, medical centers, health & medical, family practice",Goodyear,"Rukiya Chavers, NP - IMS Family Medicine",4,2.0,AZ,"['doctors', ' medical centers', ' health & medical', ' family practice']"
22,{'AcceptsInsurance': 'True'},qf6tath09oXtNLc27N1Lag,"health & medical, doctors, family practice",Goodyear,Scherer Darrin D DO,3,3.0,AZ,"['health & medical', ' doctors', ' family practice']"
23,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",SqxTPuk-g0g0aGLtmyaq0Q,"health & medical, chiropractors",Cave Creek,Healthy Images,13,5.0,AZ,"['health & medical', ' chiropractors']"
24,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",e81RQ-5Zi5hOUFUXz8w_LA,"medical centers, physical therapy, chiropractors, health & medical",Peoria,AFC Physical Medicine & Chiropractic Centers Peoria,4,5.0,AZ,"['medical centers', ' physical therapy', ' chiropractors', ' health & medical']"
25,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",UAruVJ-1zH-9mkBs5KXKeQ,"physical therapy, health & medical",North Las Vegas,Kelly Hawkings Physical Therapy,3,4.5,NV,"['physical therapy', ' health & medical']"
26,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",2hpi6pXIFf0taDIYCoNIuw,"health & medical, urgent care",Las Vegas,Healthcare Partner,80,2.5,NV,"['health & medical', ' urgent care']"
27,"{'AcceptsInsurance': 'False', 'ByAppointmentOnly': 'True'}",FKV7O6caVl-fMuW9P0BPFg,"health & medical, physical therapy",Pittsburgh,Squirrel Hill Physical Therapy Center,3,2.5,PA,"['health & medical', ' physical therapy']"
28,{'ByAppointmentOnly': 'True'},qKTDSovvU_IjjRIOwqLiyw,"health & medical, doctors, obstetricians & gynecologists",Las Vegas,Miller and Turner,5,2.0,NV,"['health & medical', ' doctors', ' obstetricians & gynecologists']"
29,"{'AcceptsInsurance': 'False', 'ByAppointmentOnly': 'False'}",AEAx8dVjY1ZMKMGPajjFhA,"health & medical, chiropractors",Mesa,In-Out Chiropractic Center,4,5.0,AZ,"['health & medical', ' chiropractors']"
30,{'ByAppointmentOnly': 'True'},17gbUvzHUl68ytRYsobHqw,"doctors, family practice, health & medical",Mesa,Scottsdale Healthcare Primary Care Mesa,5,5.0,AZ,"['doctors', ' family practice', ' health & medical']"
31,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",EXS2vZ60ad1LGfJKBdwiWg,"doctors, health & medical, urgent care, medical centers",Scottsdale,FastMed Urgent Care,122,2.5,AZ,"['doctors', ' health & medical', ' urgent care', ' medical centers']"
32,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",WENK5S15dcSt3zINQUxeKg,"obstetricians & gynecologists, health & medical, doctors",Charlotte,Danner Christopher J MD,3,5.0,NC,"['obstetricians & gynecologists', ' health & medical', ' doctors']"
33,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'False'}",JT9XHFJiE3zbBZ4e2qy24w,"health & medical, doctors, internal medicine, family practice",Las Vegas,Fremont Medical Centers,33,3.0,NV,"['health & medical', ' doctors', ' internal medicine', ' family practice']"
34,{'AcceptsInsurance': 'True'},MGr2dOS-kL_snacd8fsDQg,"doctors, health & medical",Las Vegas,"Kayvan  Khiabani, MD",4,3.0,NV,"['doctors', ' health & medical']"
35,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",5P7MLyk0oTGtC4UDd1eo0A,"physical therapy, health & medical, chiropractors",Chandler,Chandler Pain Clinic,26,4.5,AZ,"['physical therapy', ' health & medical', ' chiropractors']"
36,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'False'}",N6hX6Hwc3RipPoOYMh97Mw,"doctors, family practice, health & medical",Berea,Patient First,8,2.5,OH,"['doctors', ' family practice', ' health & medical']"
37,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",dS429k_UismVWKfSKCGSBQ,"health & medical, chiropractors",Tempe,Active Family Chiropractic,15,4.5,AZ,"['health & medical', ' chiropractors']"
38,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",sPR_SQDkq1W3Ycd0qIOPaw,"health & medical, internal medicine, doctors",Chandler,"Megan Jhaver, M.D.",13,3.0,AZ,"['health & medical', ' internal medicine', ' doctors']"
39,{'ByAppointmentOnly': 'True'},5U15X91WsPkDeTVpWCbqyw,"physical therapy, chiropractors, health & medical",Madison,Integrated Sport & Spine Clinic of Madison,3,5.0,WI,"['physical therapy', ' chiropractors', ' health & medical']"
40,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'False'}",TIqOCRMRVjZ2zukO93axdQ,"urgent care, health & medical, medical centers, physical therapy",Mesa,Concentra Medical Center,13,2.0,AZ,"['urgent care', ' health & medical', ' medical centers', ' physical therapy']"
41,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",_HNP4ssuPbJaDLgJjCOLNw,"health & medical, medical centers, radiologists, diagnostic imaging, doctors, diagnostic services",Phoenix,Scottsdale Medical Imaging,14,3.0,AZ,"['health & medical', ' medical centers', ' radiologists', ' diagnostic imaging', ' doctors', ' diagnostic services']"
42,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",lE68i-3i1UvIEO7mW2vbJA,"health & medical, diagnostic services, diagnostic imaging, doctors",Pittsburgh,Weinstein Imaging Associates,4,3.0,PA,"['health & medical', ' diagnostic services', ' diagnostic imaging', ' doctors']"
43,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",y1nm-4qtk4LFbFVZrIdB9w,"pain management, rehabilitation center, medical centers, health & medical, doctors, counseling & mental health",Las Vegas,Las Vegas Recovery Center,8,3.5,NV,"['pain management', ' rehabilitation center', ' medical centers', ' health & medical', ' doctors', ' counseling & mental health']"
44,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",JdzoXkjb4uHLTEkiaSZRuQ,"doctors, urgent care, health & medical",Goodyear,Banner Urgent Care,27,3.0,AZ,"['doctors', ' urgent care', ' health & medical']"
45,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True'}",Yivn60GjQTIIsuRcbLeW7A,"doctors, physical therapy, health & medical, orthopedists",Mesa,Kempton Physical Therapy & Sports Medicine,6,5.0,AZ,"['doctors', ' physical therapy', ' health & medical', ' orthopedists']"
46,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",bV8L9KqbbqSNuiBMuRigiw,"health & medical, pediatricians, doctors",Mesa,Happy Kids Pediatrics PC,5,2.0,AZ,"['health & medical', ' pediatricians', ' doctors']"
47,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",ZJ8sj2FEKE_BUOxN64b5OQ,"orthopedists, health & medical, doctors, podiatrists",Concord,Orthopedic Associates of Lake County,4,4.0,OH,"['orthopedists', ' health & medical', ' doctors', ' podiatrists']"
48,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",mVsXO9UctCxbD5qhPPkObQ,"doctors, diagnostic services, radiologists, health & medical, diagnostic imaging",Goodyear,SimonMed Imaging - Palm Valley,8,1.5,AZ,"['doctors', ' diagnostic services', ' radiologists', ' health & medical', ' diagnostic imaging']"
49,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",wrYOag1fXMZCXPaWvutw3w,"health & medical, podiatrists, doctors",Phoenix,"Delucca Manny, MD",3,3.5,AZ,"['health & medical', ' podiatrists', ' doctors']"
50,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",IlLKpNu4BrIhjruik8poiQ,"health & medical, hospitals, medical centers, emergency rooms",Gilbert,Dignity Health AZ General Hospital Emergency Room-Gilbert,30,4.0,AZ,"['health & medical', ' hospitals', ' medical centers', ' emergency rooms']"
51,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",4Wtx-rcBYHYGtzAdYBHqhA,"health & medical, doctors, optometrists",Chandler,Focused On Eyes,9,5.0,AZ,"['health & medical', ' doctors', ' optometrists']"
52,,X3A58oO-XY0o-QI69cal7A,"health & medical, optometrists",Charlotte,Janne Smith,4,5.0,NC,"['health & medical', ' optometrists']"
53,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",12YeGwVZF3k6gg3xzDLUWQ,"doctors, prenatal/perinatal care, obstetricians & gynecologists, diagnostic imaging, diagnostic services, health & medical",Phoenix,Valley Perinatal Services,9,3.5,AZ,"['doctors', ' prenatal/perinatal care', ' obstetricians & gynecologists', ' diagnostic imaging', ' diagnostic services', ' health & medical']"
54,{'ByAppointmentOnly': 'True'},1SMZozP_btTvR-7IUrXaGA,"neurologist, doctors, health & medical",Las Vegas,"Ginsberg David L, MD",7,3.5,NV,"['neurologist', ' doctors', ' health & medical']"
55,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",GPCixF89heCSHgvbN9xY4A,"health & medical, medical centers, hospitals",Glendale,Thunderbird Endoscopy Center,4,4.0,AZ,"['health & medical', ' medical centers', ' hospitals']"
56,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",3_dwAO5gWSX0zNtJ7xAB9w,"hospitals, health & medical, urgent care, doctors",Anthem,HonorHealth Immediate Care - Gavilan Peak,20,2.0,AZ,"['hospitals', ' health & medical', ' urgent care', ' doctors']"
57,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",_PbMMXioQSewJkzyOk7hhw,"health & medical, obstetricians & gynecologists, doctors",Avondale,Adelante Healthcare,13,2.5,AZ,"['health & medical', ' obstetricians & gynecologists', ' doctors']"
58,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",eLObuQnYsbArxd1RAnS6kA,"gastroenterologist, medical centers, doctors, health & medical",Las Vegas,Digestive Associates,5,2.5,NV,"['gastroenterologist', ' medical centers', ' doctors', ' health & medical']"
59,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",xNesPD_NROiGQhc91F8mxw,"doctors, health & medical, family practice",Tempe,Tempe Family Practice,16,3.0,AZ,"['doctors', ' health & medical', ' family practice']"
60,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",SA0-yk3GttFhdykAH2REkg,"hospitals, health & medical",Las Vegas,Horizon Specialty Hospital,11,2.5,NV,"['hospitals', ' health & medical']"
61,{'ByAppointmentOnly': 'False'},Glb5jyfL0hSXr5QVjpYrLg,"medical centers, health & medical",Chandler,CVS Pharmacy,5,1.5,AZ,"['medical centers', ' health & medical']"
62,,bdNz9ySNCDCmaMTxlTKfuw,"health & medical, pain management, doctors",Murrysville,Medpain,3,1.0,PA,"['health & medical', ' pain management', ' doctors']"
63,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",SPnKdy0k9npg8qonOQpaSw,"urgent care, health & medical",Indian Land,Doctors Care -  Indian Land,4,1.0,SC,"['urgent care', ' health & medical']"
64,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",3_WDpifCVPgGg5tq-zG7IA,"health & medical, chiropractors",Las Vegas,Community Chiropractic Center,11,4.5,NV,"['health & medical', ' chiropractors']"
65,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",fXJd3YjSBN6j8GC48SaFIA,"health & medical, obstetricians & gynecologists, doctors",Las Vegas,WHASN Southwest,49,3.0,NV,"['health & medical', ' obstetricians & gynecologists', ' doctors']"
66,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",qK7UmGs6EgUB8K84p0SIDQ,"doctors, health & medical, obstetricians & gynecologists",Las Vegas,"Maria Keller, MD, FACOG",72,3.5,NV,"['doctors', ' health & medical', ' obstetricians & gynecologists']"
67,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",zzgSiOnuUjnBnmfR-ZG4ww,"health & medical, chiropractors",Peoria,Cornerstone Chiropractic Clinic,4,5.0,AZ,"['health & medical', ' chiropractors']"
68,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",MC3Dmq3HVKAkG6lWl6stKA,"health & medical, urgent care, doctors, medical centers, diagnostic services",Gilbert,MedPost Urgent Care,51,4.0,AZ,"['health & medical', ' urgent care', ' doctors', ' medical centers', ' diagnostic services']"
69,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",rB4HYopnht0Z4IVRmLGvBQ,"internal medicine, doctors, health & medical, pediatricians, obstetricians & gynecologists",Madison,Associated Physicians,11,4.0,WI,"['internal medicine', ' doctors', ' health & medical', ' pediatricians', ' obstetricians & gynecologists']"
70,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",_PDPTThF-af-kELmnUgVZg,"health & medical, urgent care",Wexford,UPMC Urgent Care - Wexford,4,4.0,PA,"['health & medical', ' urgent care']"
71,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",mFsE_YtsG4clke5mUnlmeg,"health & medical, podiatrists, doctors",Beachwood,Podiatry,3,4.5,OH,"['health & medical', ' podiatrists', ' doctors']"
72,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",gmmkU_DzUPABqK0SGNu1aA,"physical therapy, health & medical",Chandler,Kinect Physical Therapy,3,5.0,AZ,"['physical therapy', ' health & medical']"
73,{'ByAppointmentOnly': 'False'},0ipY-NJK_7ovJgIPACiOtQ,"chiropractors, health & medical",Glendale,Graham Chiropractic,3,2.5,AZ,"['chiropractors', ' health & medical']"
74,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True'}",OOoPLX3NdXHV8feM0iktrg,"doctors, fertility, obstetricians & gynecologists, health & medical",Las Vegas,Red Rock Fertility Center,24,3.0,NV,"['doctors', ' fertility', ' obstetricians & gynecologists', ' health & medical']"
75,,4tdKLkLuV1j75_FpleItqg,"health & medical, prosthetics, orthotics",Henderson,Advanced Prosthetics and Orthotics,5,2.0,NV,"['health & medical', ' prosthetics', ' orthotics']"
76,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",e6ohubwGsdCD4-x6RZnwUg,"chiropractors, health & medical, physical therapy, nutritionists",Glendale,Arrowhead Lakes Chiropractic,10,5.0,AZ,"['chiropractors', ' health & medical', ' physical therapy', ' nutritionists']"
77,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",EyhtkmXlyzUGuown1i4wSg,"family practice, health & medical, doctors",Scottsdale,Scottsdale Medical Center,5,5.0,AZ,"['family practice', ' health & medical', ' doctors']"
78,{'ByAppointmentOnly': 'True'},7zSVeeWX-8uVN5LHSzRQtA,"doctors, health & medical",Mesa,Southwest Women's Care,3,3.0,AZ,"['doctors', ' health & medical']"
79,"{'AcceptsInsurance': 'False', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",2mhOEU85bHdivcoJHx4y-A,"health & medical, lactation services",Goodyear,Smooth Sailing Breastfeeding Support,6,5.0,AZ,"['health & medical', ' lactation services']"
80,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",QDmVKvGkyF8Yg86rzsgTdA,"counseling & mental health, health & medical, medical centers, hospitals, rehabilitation center",Las Vegas,Spring Mountain Treatment Center,17,2.0,NV,"['counseling & mental health', ' health & medical', ' medical centers', ' hospitals', ' rehabilitation center']"
81,{'ByAppointmentOnly': 'True'},JSUvRiUmACxdysyg1waVpQ,"chiropractors, health & medical",Goodyear,Healing Chiropractic Hands,4,5.0,AZ,"['chiropractors', ' health & medical']"
82,"{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'False'}",qhkfFrB7IA9AlT-cSl2NSQ,"diagnostic imaging, health & medical, radiologists, doctors, diagnostic services",Mesa,SimonMed Imaging - Mesa Drive,17,1.0,AZ,"['diagnostic imaging', ' health & medical', ' radiologists', ' doctors', ' diagnostic services']"
83,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",WITTSPb1uqxBZw1A89BmSw,"doctors, hospitals, health & medical, urgent care",Phoenix,HonorHealth Immediate Care - Saguaro,20,2.0,AZ,"['doctors', ' hospitals', ' health & medical', ' urgent care']"
84,{'ByAppointmentOnly': 'True'},eyT927JkCewt5OT4vDk_lA,"doctors, health & medical",Mesa,Jordan Cynthia MD,3,3.5,AZ,"['doctors', ' health & medical']"
85,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",nyZwQcAB3uH2q0jB5GnFpw,"health & medical, podiatrists, doctors",Las Vegas,Kuruvilla Thomman M DPM,6,2.5,NV,"['health & medical', ' podiatrists', ' doctors']"
86,,VoYrslgeS0wE4qjYT8HnNg,"health & medical, doctors, plastic surgeons",Pittsburgh,"Today's Cosmetic Surgery, Robert Chiu MD",4,4.0,PA,"['health & medical', ' doctors', ' plastic surgeons']"
87,{'ByAppointmentOnly': 'False'},sTXzcfl7F47TpERxOLHJYw,"family practice, doctors, health & medical",peoria,"Handeguand J Thomas, DO - 21St Century Family Medicine",4,2.0,AZ,"['family practice', ' doctors', ' health & medical']"
88,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",hKnFj72-KWAwoucGIvDQWQ,"optometrists, ophthalmologists, health & medical, doctors",Las Vegas,Westfield Eye Center,37,2.5,NV,"['optometrists', ' ophthalmologists', ' health & medical', ' doctors']"
89,{'ByAppointmentOnly': 'True'},h6SV0Ss6K8VjzUCzH6zX7A,"health & medical, ear nose & throat, doctors",Phoenix,"West Valley Ear Nose & Throat, PC",10,1.5,AZ,"['health & medical', ' ear nose & throat', ' doctors']"
90,{'ByAppointmentOnly': 'True'},5SHTOd99cZ1eBK0L8JyZfA,"doctors, health & medical, obstetricians & gynecologists",Las Vegas,"Stephen P Dubin, MD",6,3.5,NV,"['doctors', ' health & medical', ' obstetricians & gynecologists']"
91,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",zMmPBIQZe5RZwvAVHfg4AQ,"health & medical, spine surgeons, medical centers, doctors",Las Vegas,Allegion Spine Institute,11,2.5,NV,"['health & medical', ' spine surgeons', ' medical centers', ' doctors']"
92,,1__Ho-KbFfkRHqF_vHBdZQ,"health & medical, counseling & mental health, psychologists",Phoenix,Bayless M B Psychologist,9,2.5,AZ,"['health & medical', ' counseling & mental health', ' psychologists']"
93,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",LnfLpJ-mr7KEOpz_qlkxtA,"doctors, health & medical, pediatricians",Phoenix,North Valley Pediatrics,3,3.5,AZ,"['doctors', ' health & medical', ' pediatricians']"
94,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",56ONF1hwZIl9_m9p9JY9Wg,"doctors, health & medical",Pittsburgh,MedExpress Urgent Care,5,4.0,PA,"['doctors', ' health & medical']"
95,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",n6Osd2cJoFNH21pzuR-5eQ,"health & medical, doctors, obstetricians & gynecologists",Las Vegas,"Kirsten Rojas, MD, FACOG, FACS",10,3.0,NV,"['health & medical', ' doctors', ' obstetricians & gynecologists']"
96,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",gH_hCCVtlI-aUkoSA2UAAw,"pain management, psychiatrists, doctors, addiction medicine, health & medical, internal medicine",Mesa,McKellips Internal Medicine,3,3.5,AZ,"['pain management', ' psychiatrists', ' doctors', ' addiction medicine', ' health & medical', ' internal medicine']"
97,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",brswxRJTLw6gd3uK9bpeSw,"health & medical, urgent care",Phoenix,Express Urgent Care,45,4.5,AZ,"['health & medical', ' urgent care']"
98,,3E2YILJ5G1dS5HjitUpW6A,"doctors, internal medicine, health & medical",Charlotte,North Charlotte Medical Specialists,3,2.0,NC,"['doctors', ' internal medicine', ' health & medical']"
99,"{'AcceptsInsurance': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",cOPnBA9R-brYt3m6PPUZsw,"doctors, health & medical, podiatrists",Gilbert,"Jamie Coffey, DPM - East Gilbert Foot and Ankle",9,5.0,AZ,"['doctors', ' health & medical', ' podiatrists']"
